관광지명,위도,경도,소재지주소
불회사,34.90877918,126.8234812,전라남도 나주시 다도면 다도로 1224-142
금성관,35.03335643,126.7165553,전라남도 나주시 금성관길 8
도래마을(홍기옥 가옥),34.9981825,126.8223995,전라남도 나주시 다도면 동력길 16
정수루,35.03193288,126.7150148,전라남도 나주시 금성관길 13-20
나주향교,35.03403137,126.711466,전라남도 나주시 향교길 38
완사천,35.01496092,126.7128194,전라남도 나주시 완사천길 14
목사내아,35.0320205,126.7151642,전라남도 나주시 금성관길 13-8
영모정,34.9973737,126.6671219,전라남도 나주시 다시면 회진길 14-8
남고문,35.0295791,126.7204701,전라남도 나주시 남내동 2-20
구)나주역,35.0280742,126.7262445,전라남도 나주시 죽림길 26
노안천주교회,35.10432714,126.6754469,전라남도 나주시 노안면 이슬촌길 108
문경짚라인,36.62285644,128.1367824,경상북도 문경시 불정길 174
문경 종합온천,36.72937376,128.1089547,경상북도 문경시 문경읍 온천2길 24
문경 활공랜드,36.7362239,128.1538507,경상북도 문경시 문경읍 활공장길 80
불정자연휴양림,36.62128207,128.1365074,경상북도 문경시 불정길 180
국사봉랜드,35.00642478,127.6525399,전라남도 광양시 옥곡면 대치로 433
표충사,35.532294,128.959045,경상남도 밀양시 단장면 표충로1338
당항포관광지,35.05322615,128.3920276,경상남도 고성군 회화면 당항만로 1116
부석사관광지,36.99435088,128.6797054,경상북도 영주시 부석면 부석사로 298
절물자연휴양림,33.44004881,126.6252034,제주특별자치도 제주시 명림로 584(봉개동)
노루생태관찰원,33.4443253,126.6266934,제주특별자치도 제주시 명림로 520(봉개동)
제주별빛누리공원,33.4445529,126.5491863,제주특별자치도 제주시 선돌목동길 60(오등동)
금정산,35.28304264,129.0676208,부산광역시 금정구 범어사로 250
범어사,35.28304308,129.0676212,부산광역시 금정구 범어사로 250
회동수원지,35.24707332,129.115753,부산광역시 금정구 오륜대로258
성기동,34.75653201,126.6291224,전라남도 영암군 군서면 왕인로 440
마한문화,34.89539241,126.5859196,전라남도 영암군 시종면 남해당로 65
영산호관광지,34.776135,126.4577774,전라남도 영암군 삼호읍 녹색로 653-11
요트올림픽동산지구,35.16578256,129.1350266,부산광역시 해운대구 APEC로 30
동백섬,35.15234205,129.1513619,부산광역시 해운대구 동백로 116
